drugname,outcome_code,count
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,Death,469
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,Hospitalization,3535
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,Life Threatening,135
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,Other Serious Outcome,3709
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,Required Intervention,27
.DELTA.8-TETRAHYDROCANNABINOL\HERBALS,Hospitalization,7
.DELTA.8-TETRAHYDROCANNABINOL\HERBALS,Other Serious Outcome,7
.DELTA.8-TETRAHYDROCANNABINOL\HERBALS,Required Intervention,7
.DELTA.9-TETRAHYDROCANNABINOLIC ACID\HERBALS,Other Serious Outcome,3
.DELTA.9-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,Disability,35
.DELTA.9-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,Hospitalization,9
.DELTA.9-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,Life Threatening,35
.DELTA.9-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,Other Serious Outcome,14
.DELTA.9-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,Required Intervention,35
.DELTA.9-TETRAHYDROCANNABINOL\HERBALS,Hospitalization,5
7-HYDROXYMITRAGYNINE,Death,15
7-HYDROXYMITRAGYNINE,Disability,69
7-HYDROXYMITRAGYNINE,Hospitalization,60
7-HYDROXYMITRAGYNINE,Life Threatening,35
7-HYDROXYMITRAGYNINE,Other Serious Outcome,103
7-HYDROXYMITRAGYNINE,Required Intervention,85
ABACAVIR,Death,13
ABACAVIR,Hospitalization,23
ABACAVIR,Other Serious Outcome,25
ABACAVIR SULFATE,Other Serious Outcome,1
ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE,Hospitalization,1
ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE,Other Serious Outcome,3
ABACAVIR SULFATE\LAMIVUDINE,Death,15
ABACAVIR SULFATE\LAMIVUDINE,Hospitalization,29
ABACAVIR SULFATE\LAMIVUDINE,Other Serious Outcome,91
ABACAVIR SULFATE\LAMIVUDINE,Required Intervention,2
ABACAVIR\LAMIVUDINE,Death,1
ABACAVIR\LAMIVUDINE,Hospitalization,40
ABACAVIR\LAMIVUDINE,Other Serious Outcome,16
ABALOPARATIDE,Death,2
ABALOPARATIDE,Hospitalization,82
ABALOPARATIDE,Life Threatening,13
ABALOPARATIDE,Other Serious Outcome,136
ABATACEPT,Hospitalization,5
ABATACEPT,Life Threatening,3
ABATACEPT,Other Serious Outcome,9
ABECMA,Death,15
ABECMA,Disability,4
ABECMA,Hospitalization,20
ABECMA,Life Threatening,17
ABECMA,Other Serious Outcome,57
ABELCET,Death,18
ABELCET,Hospitalization,30
ABELCET,Life Threatening,10
ABELCET,Other Serious Outcome,10
ABEMACICLIB,Death,73
ABEMACICLIB,Disability,10
ABEMACICLIB,Hospitalization,375
ABEMACICLIB,Life Threatening,29
ABEMACICLIB,Other Serious Outcome,688
ABILIFY,Congenital Anomaly,6
ABILIFY,Death,20
ABILIFY,Disability,111
ABILIFY,Hospitalization,303
ABILIFY,Life Threatening,67
ABILIFY,Other Serious Outcome,934
ABILIFY,Required Intervention,15
ABILIFY ASIMTUFII,Hospitalization,7
ABILIFY ASIMTUFII,Other Serious Outcome,52
ABILIFY MAINTENA,Death,13
ABILIFY MAINTENA,Disability,30
ABILIFY MAINTENA,Hospitalization,453
ABILIFY MAINTENA,Life Threatening,32
ABILIFY MAINTENA,Other Serious Outcome,611
ABIRATERONE,Death,10
ABIRATERONE,Disability,16
ABIRATERONE,Hospitalization,95
ABIRATERONE,Life Threatening,32
ABIRATERONE,Other Serious Outcome,158
ABIRATERONE,Required Intervention,1
ABIRATERONE ACETATE,Death,55
ABIRATERONE ACETATE,Hospitalization,159
